Month,Avg. Temp,Min. Temp,Max. Temp,Precipitation,Heating Degrees Days,Cooling Degrees Days
"May, 2004",55.6,42.7,68.6,3.7,303,26
"April, 2004",47.9,32.9,62.9,0.88,511,2
"March, 2004",38.4,26.9,50,1.61,814,
"February, 2004",22.9,12.5,33.2,0.46,1187,
"January, 2004",16.1,6.1,26.2,0.33,1487,
"December, 2003",26.6,17.7,35.6,0.29,1183,
"November, 2003",27.6,17.6,37.5,0.74,1074,
"October, 2003",51.8,37.3,66.2,0.84,417,3
"September, 2003",60,45.2,74.7,1.81,200,40
"August, 2003",74.8,60.4,89.2,1.12,10,280
"July, 2003",74.4,60,88.7,1.63,16,281
"June, 2003",63.9,52,75.8,3.61,123,94
"May, 2003",55,43.1,66.8,2.79,331,19
"April, 2003",47.9,35.2,60.5,2.28,522,
"March, 2003",32.1,19.4,44.9,0.94,1000,
"February, 2003",18.8,7.8,29.9,0.63,1278,
"January, 2003",19.8,8.8,30.9,0.45,1395,
"December, 2002",27.3,16.2,38.3,0.24,1165,
"November, 2002",34.5,23,45.9,0.06,930,
"October, 2002",39.5,29.3,49.6,1.46,772,
"September, 2002",62.7,49.3,76.2,1.59,143,71
"August, 2002",70.4,57,83.8,3.27,32,188
"July, 2002",77.3,63.2,91.4,1.79,5,376
"June, 2002",70.4,56.1,84.6,1.55,43,208
"May, 2002",52.4,38.6,66.2,1.64,397,12
"April, 2002",44.5,31,57.9,1.29,593,
"March, 2002",22.2,11.7,32.6,0.95,1302,
"February, 2002",29.6,16.8,42.3,0.18,987,
"January, 2002",24.1,13.4,34.9,0.28,1260,
"December, 2001",24.7,14.9,34.5,0.06,1242,
"November, 2001",40.8,27.3,54.2,1.19,697,
"October, 2001",47.5,34,61,0.96,531,
"September, 2001",62.1,48.6,75.5,1.8,159,57
"August, 2001",73.4,59,87.7,0.7,15,249
"July, 2001",74.6,62.3,86.8,3.8,14,304
"June, 2001",66,53.9,78,3.2,87,128
"May, 2001",57.8,45.5,70.1,2.48,253,40
"April, 2001",46.1,34.2,58,3.84,558,
"March, 2001",29.8,20,39.5,0.46,1127,
"February, 2001",12.4,2.4,22.4,0.87,1453,
"January, 2001",22.7,12.6,32.7,0.82,1338,
"December, 2000",10.5,0.7,20.3,0.42,1685,
"November, 2000",24.4,15.5,33.2,1.86,1212,
"October, 2000",50.1,37.6,62.6,1.31,452,2
"September, 2000",62.3,46.6,77.9,0.61,155,61
"August, 2000",73.2,59.2,87.2,1.46,15,246
"July, 2000",73,60.1,85.9,2.52,21,258
"June, 2000",64.4,51.4,77.4,2.7,108,104
"May, 2000",58.1,45,71.1,3.24,244,43
"April, 2000",45,31.6,58.3,2.63,591,
"March, 2000",39.3,26.2,52.3,1.27,788,4
"February, 2000",30.1,18.1,42,0.72,954,
"January, 2000",21.1,9.8,32.4,0.38,1356,
"December, 1999",29.1,17.4,40.9,0.18,1136,
"November, 1999",42.4,28.4,56.4,0.21,668,
"October, 1999",47.8,33.4,62.1,0.44,521,
"September, 1999",57.1,43.6,70.6,2.6,245,27
"August, 1999",71,57.3,84.7,2.66,27,198
"July, 1999",73.3,60.7,85.9,2.64,19,285
"June, 1999",65.1,53.8,76.4,4.72,105,109
"May, 1999",55.9,44.2,67.6,3.61,294,28
"April, 1999",44.7,33.8,55.7,3.05,595,
"March, 1999",36.8,25,48.6,0.69,895,
"February, 1999",32.9,22.2,43.5,0.28,918,2
"January, 1999",17.6,7,28.3,0.53,1461,
"December, 1998",25.6,13.6,37.7,0.17,1213,
"November, 1998",36,27.3,44.6,1.26,864,
"October, 1998",48.4,37.8,59,5.35,495,
"September, 1998",66.9,52,81.7,0.71,80,129
"August, 1998",72.2,59.6,84.7,2.94,21,221
"July, 1998",73.4,61.2,85.6,2.8,20,262
"June, 1998",61.7,50.6,72.9,4.64,158,71
"May, 1998",59.3,46.4,72.2,2.55,215,60
"April, 1998",46.9,34,59.7,1.52,552,
"March, 1998",26.4,17.8,34.9,1.7,1170,
"February, 1998",32.7,24.5,40.8,0.77,910,1
"January, 1998",19.3,9.2,29.4,0.46,1390,
"December, 1997",28,18.8,37.2,0.15,1158,
"November, 1997",30,19.6,40.5,0.29,1056,
"October, 1997",49.7,35.8,63.5,1.82,471,
"September, 1997",63.1,49.3,76.8,1.45,139,72
"August, 1997",69.4,57.5,81.4,2.02,40,164
"July, 1997",71.4,59.8,83,4.16,31,233
"June, 1997",68,55.7,80.2,3.16,66,155
"May, 1997",53.1,40.6,65.5,2.92,389,11
"April, 1997",39.5,28.3,50.7,2.74,756,
"March, 1997",31.9,20.4,43.4,0.44,1017,
"February, 1997",22.8,13.6,32,0.79,1198,
"January, 1997",10.6,1.2,20.1,1.18,1667,
"December, 1996",11.5,2.6,20.3,1.15,1628,
"November, 1996",22,14,30.1,1.23,1250,
"October, 1996",46.9,33.6,60.2,2.42,544,
"September, 1996",58.8,46.9,70.6,4.29,222,30
"August, 1996",71.2,56.9,85.4,1.73,30,187
"July, 1996",69.6,56.3,82.8,1.78,48,174
"June, 1996",67.4,55,79.6,2.04,70,148
"May, 1996",52.2,42.5,61.9,5.37,391,13
"April, 1996",42.4,29.4,55.4,0.93,675,
"March, 1996",24.2,13.5,35,0.79,1233,
"February, 1996",23.1,12,34.2,0.31,1170,
"January, 1996",10.3,-0.4,20.9,0.87,1658,
"December, 1995",21.9,12.4,31.4,0.22,1311,
"November, 1995",29.8,19.4,40.2,0.53,1062,
"October, 1995",46.4,35.3,57.5,3.26,584,
"September, 1995",59.5,45.9,73.1,1.82,213,34
"August, 1995",73.7,60.5,86.8,2.02,12,271
"July, 1995",71.6,58.6,84.6,2.85,29,238
"June, 1995",65.6,54.5,76.7,3.29,96,124
"May, 1995",52.5,42.2,62.8,5.42,400,12
"April, 1995",39.1,29.3,49,3.39,764,
